Time,Wafer,Wafer Disposition,Die Failed,Recipe,Defect Count,Alignment Failures,Inspection Time,Wafer Position,Wafer Theta
1/2/2026 8:28:01 AM,"Lot: 20260102_IME00084blanket_S15, Wafer: IME00084_15",Passed,0,BareSi\300mm_BareSi\300mm_BareSi_BF0.5um,23,0,00:06:59.6330000,"(-0.130852371162575,-0.332209274506781)",0
1/2/2026 9:23:06 AM,"Lot: 20260102_IME00084blanket_S15, Wafer: IME00084_09",Passed,0,BareSi\300mm_BareSi\300mm_BareSi_BF0.5um,356,0,00:08:24.6860000,"(-0.172064720599906,-0.327009760701625)",0
1/6/2026 1:20:28 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10.3X10.3_Bevel\FF_UNPatt_ParticleCheck\FF_ParticleCheck_BF_10.3_Bevel,0,0,00:01:41.7700000,"(0.231289278314138,-0.522297392189905)",0
1/6/2026 1:23:02 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10.3X10.3_Std_3\FF_UNPatt_ParticleCheck\Copy of FF_ParticleCheck_BF_10.3_Std,0,0,00:01:56.7000000,"(0.231289278314138,-0.522297392189905)",0
1/6/2026 1:34:27 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10X10-copy\FF_UNPatt_ParticleCheck_10x10\Copy of FF_ParticleCheck_Chiping_BF_10x10,0,0,00:03:15.0160000,"(-0.212466804460677,-0.231722640294027)",0
1/6/2026 1:38:35 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10X10\FF_UNPatt_ParticleCheck\FF_ParticleCheck_Chiping_BF,0,0,00:01:36.3200000,"(0.396926170698544,-0.710506880364996)",0
1/6/2026 1:41:25 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10X10-copy\FF_UNPatt_ParticleCheck_10x10\Copy of FF_ParticleCheck_Chiping_BF_10x10,0,0,00:02:33.5230000,"(0.396926170698544,-0.710506880364996)",0
1/6/2026 2:24:21 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10.3X10.3_Bevel\FF_UNPatt_ParticleCheck\FF_ParticleCheck_BF_10.3_Bevel,0,0,00:03:22.3670000,"(0.396926170698544,-0.710506880364996)",0
1/6/2026 2:50:40 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10.3X10.3_Std_2\FF_UNPatt_ParticleCheck\Copy of Copy of FF_ParticleCheck_BF_10.3_Std,0,0,00:01:32.5990000,"(0.396926170698544,-0.710506880364996)",0
1/6/2026 2:54:08 PM,"Lot: 20260106_FFblankS11_AOIS2, Wafer: 20260106_02",Faulted,0,FF_UNPatt_ParticleCheck_Dice_10.3X10.3_Std_3\FF_UNPatt_ParticleCheck\Copy of FF_ParticleCheck_BF_10.3_Std,0,0,00:01:09.1700000,"(0.396926170698544,-0.710506880364996)",0
